time,value
150,0.758020735
151,0.796552577
152,0.871831369
153,0.948771121
154,0.766815239
155,0.810041746
156,0.927271273
157,0.9692205
158,0.936470882
159,0.958722624
160,0.886224339
161,0.67267333
162,0.674150334
163,0.645752733
164,0.739289804
165,0.675754907
166,0.900784343
167,1.033691019
168,1.000093597
169,1.006668469
170,1.121093739
171,0.57434535
172,0.791828336
173,1.089955378
174,1.175943492
175,1.319609528
176,1.256707532
177,2.085345501
178,2.755286711
179,2.992356852
180,2.815348415
181,3.19076613
182,2.177524608
183,1.49530639
184,1.348160938
185,1.432457013
186,0.949361112
187,1.541242106
188,1.630742936
189,1.258085138
190,1.387705034
191,1.767922541
192,1.175783114
193,1.866149257
194,2.06719759
195,2.54463884
196,2.107393406
197,2.689041955
198,2.323966302
199,2.443953728
200,2.039425422
201,2.481590628
202,1.848287568
203,1.521236475
204,1.301934351
205,1.317749412
206,1.159526082
207,1.210235988
208,1.073588873
209,1.150020249
210,0.998134272
211,0.726939621
212,0.676073125
213,0.770029502
214,0.640513537
215,0.576730795
216,1.047294641
217,1.168298226
218,0.863236408
219,1.092386015
220,0.976216139
221,0.901028939
222,0.779672453
223,1.289433638
224,1.470235563
225,1.527606014
226,1.369013856
227,1.421497275
228,1.06564243
229,0.898992561
230,1.046367664
231,0.808694618
232,1.234525529
233,1.509623607
234,1.428080493
235,1.351754753
236,1.593692728
237,1.172130157
238,0.822132292
239,0.738613488
240,0.611045275
241,0.371728688
242,1.130578165
243,1.928140164
244,2.023915102
245,2.157299755
246,2.421284342
247,1.827079285
248,0.902491785
249,0.679093923
250,0.545564384
251,0.29002608
252,0.131584907
253,0.272514257
254,0.332794017
255,0.989260706
256,1.161305058
257,1.652561992
258,2.892428965
259,3.009004698
260,3.274024718
261,3.656001806
262,3.031515355
263,1.637607713
264,1.781677855
265,1.60597937
266,1.433572079
267,1.034053632
268,1.140066519
269,1.168036834
270,1.180611369
271,0.882258461
272,0.588664299
273,0.610824995
274,0.597638688
275,0.575545284
276,1.299870948
277,1.429686065
278,2.233893238
279,2.076987696
280,2.683494323
281,2.473302752
282,2.65512396
283,1.838636827
284,1.686407278
285,1.296830364
286,1.129052979
287,1.370336911
288,1.751660876
289,2.099073762
290,2.101658232
291,1.892632663
292,1.338101239
293,0.963625114
294,0.755969926
295,0.7730426
296,0.973227893
297,2.010268884
298,2.661912495
299,2.869264601
300,2.521623894
301,2.330865103
302,1.444700414
303,0.652465994
304,0.648855569
305,0.650089632
306,0.657460879
307,0.858695867
308,1.222962695
309,1.235768604
310,1.830760814
311,1.673850394
312,1.478282179
313,1.270477646
314,1.278542127
315,1.801464846
316,1.965000162
317,2.409036235
318,2.862656096
319,2.867807271
320,3.124489983
321,3.815609254
322,3.373782657
323,3.131587842
324,2.760382222
325,1.551794565
326,0.863531704
327,0.703807399
328,0.500374591
329,0.877583655
330,0.710971753
331,0.712740099
332,1.32717313
333,2.30675539
334,1.92939405
335,2.31802655
336,2.149688139
337,2.166211369
338,1.195901126
339,1.837937058
340,1.841804864
341,1.842270529
342,1.607947091
343,0.507677344
344,1.167195925
345,1.557840193
346,1.95806578
347,1.48726459
348,1.637736301
349,1.55084242
350,1.36142815
351,1.32760637
352,1.472488101
353,1.889240584
