value(t),predict(t),value(t-1),value(t-2),trend(t-1),trend(t-2)
0.131584907,0,0.29002608,0.545564384,0,0
0.272514257,0,0.131584907,0.29002608,0,0
0.332794017,0,0.272514257,0.131584907,0,0
0.989260706,0,0.332794017,0.272514257,0,0
1.161305058,0,0.989260706,0.332794017,0,0
1.652561992,0,1.161305058,0.989260706,0,0
2.892428965,0,1.652561992,1.161305058,0,0
3.009004698,0,2.892428965,1.652561992,0,0
3.274024718,0,3.009004698,2.892428965,0,0
3.656001806,0,3.274024718,3.009004698,0,0
3.031515355,0,3.656001806,3.274024718,0,0
1.637607713,0,3.031515355,3.656001806,0,0
1.781677855,0,1.637607713,3.031515355,0,0
1.60597937,0,1.781677855,1.637607713,0,0
1.433572079,0,1.60597937,1.781677855,0,0
1.034053632,0,1.433572079,1.60597937,0,0
1.140066519,0,1.034053632,1.433572079,0,0
1.168036834,0,1.140066519,1.034053632,0,0
1.180611369,0,1.168036834,1.140066519,0,0
0.882258461,0,1.180611369,1.168036834,0,0
0.588664299,0,0.882258461,1.180611369,0,0
0.610824995,0,0.588664299,0.882258461,0,0
0.597638688,0,0.610824995,0.588664299,0,0
0.575545284,0,0.597638688,0.610824995,0,0
1.299870948,0,0.575545284,0.597638688,0,0
1.429686065,0,1.299870948,0.575545284,0,0
2.233893238,0,1.429686065,1.299870948,0,0
2.076987696,0,2.233893238,1.429686065,0,0
2.683494323,0,2.076987696,2.233893238,0,0
2.473302752,0,2.683494323,2.076987696,0,0
2.65512396,0,2.473302752,2.683494323,0,0
1.838636827,0,2.65512396,2.473302752,0,0
1.686407278,0,1.838636827,2.65512396,0,0
1.296830364,0,1.686407278,1.838636827,0,0
1.129052979,0,1.296830364,1.686407278,0,0
1.370336911,0,1.129052979,1.296830364,0,0
1.751660876,0,1.370336911,1.129052979,0,0
2.099073762,0,1.751660876,1.370336911,0,0
2.101658232,0,2.099073762,1.751660876,0,0
1.892632663,0,2.101658232,2.099073762,0,0
1.338101239,0,1.892632663,2.101658232,0,0
0.963625114,0,1.338101239,1.892632663,0,0
0.755969926,0,0.963625114,1.338101239,0,0
0.7730426,0,0.755969926,0.963625114,0,0
0.973227893,0,0.7730426,0.755969926,0,0
2.010268884,0,0.973227893,0.7730426,0,0
2.661912495,0,2.010268884,0.973227893,0,0
2.869264601,0,2.661912495,2.010268884,0,0
2.521623894,0,2.869264601,2.661912495,0,0
2.330865103,0,2.521623894,2.869264601,0,0
1.444700414,0,2.330865103,2.521623894,0,0
0.652465994,0,1.444700414,2.330865103,0,0
0.648855569,0,0.652465994,1.444700414,0,0
0.650089632,0,0.648855569,0.652465994,0,0
0.657460879,0,0.650089632,0.648855569,0,0
0.858695867,0,0.657460879,0.650089632,0,0
1.222962695,0,0.858695867,0.657460879,0,0
1.235768604,0,1.222962695,0.858695867,0,0
1.830760814,0,1.235768604,1.222962695,0,0
1.673850394,0,1.830760814,1.235768604,0,0
1.478282179,0,1.673850394,1.830760814,0,0
1.270477646,0,1.478282179,1.673850394,0,0
1.278542127,0,1.270477646,1.478282179,0,0
1.801464846,0,1.278542127,1.270477646,0,0
1.965000162,0,1.801464846,1.278542127,0,0
2.409036235,0,1.965000162,1.801464846,0,0
2.862656096,0,2.409036235,1.965000162,0,0
2.867807271,0,2.862656096,2.409036235,0,0
3.124489983,0,2.867807271,2.862656096,0,0
3.815609254,0,3.124489983,2.867807271,0,0
3.373782657,0,3.815609254,3.124489983,0,0
3.131587842,0,3.373782657,3.815609254,0,0
2.760382222,0,3.131587842,3.373782657,0,0
1.551794565,0,2.760382222,3.131587842,0,0
0.863531704,0,1.551794565,2.760382222,0,0
0.703807399,0,0.863531704,1.551794565,0,0
0.500374591,0,0.703807399,0.863531704,0,0
0.877583655,0,0.500374591,0.703807399,0,0
0.710971753,0,0.877583655,0.500374591,0,0
0.712740099,0,0.710971753,0.877583655,0,0
1.32717313,0,0.712740099,0.710971753,0,0
2.30675539,0,1.32717313,0.712740099,0,0
1.92939405,0,2.30675539,1.32717313,0,0
2.31802655,0,1.92939405,2.30675539,0,0
2.149688139,0,2.31802655,1.92939405,0,0
2.166211369,0,2.149688139,2.31802655,0,0
1.195901126,0,2.166211369,2.149688139,0,0
1.837937058,0,1.195901126,2.166211369,0,0
1.841804864,0,1.837937058,1.195901126,0,0
1.842270529,0,1.841804864,1.837937058,0,0
1.607947091,0,1.842270529,1.841804864,0,0
0.507677344,0,1.607947091,1.842270529,0,0
1.167195925,0,0.507677344,1.607947091,0,0
1.557840193,0,1.167195925,0.507677344,0,0
1.95806578,0,1.557840193,1.167195925,0,0
1.48726459,0,1.95806578,1.557840193,0,0
1.637736301,0,1.48726459,1.95806578,0,0
1.55084242,0,1.637736301,1.48726459,0,0
1.36142815,0,1.55084242,1.637736301,0,0
1.32760637,0,1.36142815,1.55084242,0,0
1.472488101,0,1.32760637,1.36142815,0,0
1.889240584,0,1.472488101,1.32760637,0,0
1.941907867,0,1.889240584,1.472488101,0,0
2.617790274,0,1.941907867,1.889240584,0,0
2.255325125,0,2.617790274,1.941907867,0,0
2.101880889,0,2.255325125,2.617790274,0,0
1.716654768,0,2.101880889,2.255325125,0,0
1.096112766,0,1.716654768,2.101880889,0,0
1.855940907,0,1.096112766,1.716654768,0,0
2.595658815,0,1.855940907,1.096112766,0,0
2.756127408,0,2.595658815,1.855940907,0,0
2.979349084,0,2.756127408,2.595658815,0,0
3.152120383,0,2.979349084,2.756127408,0,0
2.485279788,0,3.152120383,2.979349084,0,0
2.738921128,0,2.485279788,3.152120383,0,0
2.764099323,0,2.738921128,2.485279788,0,0
2.334383707,0,2.764099323,2.738921128,0,0
2.583859969,0,2.334383707,2.764099323,0,0
2.056827589,0,2.583859969,2.334383707,0,0
1.247601246,0,2.056827589,2.583859969,0,0
1.246145978,0,1.247601246,2.056827589,0,0
1.248753733,0,1.246145978,1.247601246,0,0
1.282325453,0,1.248753733,1.246145978,0,0
1.544664182,0,1.282325453,1.248753733,0,0
2.697968187,0,1.544664182,1.282325453,0,0
2.51225246,0,2.697968187,1.544664182,0,0
2.971129793,0,2.51225246,2.697968187,0,0
2.702816619,0,2.971129793,2.51225246,0,0
2.451306648,0,2.702816619,2.971129793,0,0
1.30529011,0,2.451306648,2.702816619,0,0
2.051661543,0,1.30529011,2.451306648,0,0
2.049257188,0,2.051661543,1.30529011,0,0
2.312984573,0,2.049257188,2.051661543,0,0
3.137123102,0,2.312984573,2.049257188,0,0
3.189317873,0,3.137123102,2.312984573,0,0
3.731624862,0,3.189317873,3.137123102,0,0
3.272578854,0,3.731624862,3.189317873,0,0
2.998750378,0,3.272578854,3.731624862,0,0
1.895015473,0,2.998750378,3.272578854,0,0
1.652676615,0,1.895015473,2.998750378,0,0
1.039097668,0,1.652676615,1.895015473,0,0
1.982117278,0,1.039097668,1.652676615,0,0
2.749570752,0,1.982117278,1.039097668,0,0
4.678916295,0,2.749570752,1.982117278,0,0
6.487913047,1,4.678916295,2.749570752,0,0
5.810752443,0,6.487913047,4.678916295,1,0
5.262682051,0,5.810752443,6.487913047,0,1
4.316600755,0,5.262682051,5.810752443,0,0
2.821527629,0,4.316600755,5.262682051,0,0
1.137969162,0,2.821527629,4.316600755,0,0
1.540888188,0,1.137969162,2.821527629,0,0
2.269570182,0,1.540888188,1.137969162,0,0
2.873485044,0,2.269570182,1.540888188,0,0
2.620500587,0,2.873485044,2.269570182,0,0
2.866484013,0,2.620500587,2.873485044,0,0
2.62499954,0,2.866484013,2.620500587,0,0
1.501687168,0,2.62499954,2.866484013,0,0
1.052816386,0,1.501687168,2.62499954,0,0
1.06211745,0,1.052816386,1.501687168,0,0
0.686553448,0,1.06211745,1.052816386,0,0
1.380166928,0,0.686553448,1.06211745,0,0
1.751648183,0,1.380166928,0.686553448,0,0
1.59344088,0,1.751648183,1.380166928,0,0
1.599967891,0,1.59344088,1.751648183,0,0
1.765899696,0,1.599967891,1.59344088,0,0
1.077014878,0,1.765899696,1.599967891,0,0
1.312074278,0,1.077014878,1.765899696,0,0
1.315889945,0,1.312074278,1.077014878,0,0
0.948468991,0,1.315889945,1.312074278,0,0
1.892901037,0,0.948468991,1.315889945,0,0
2.333975436,0,1.892901037,0.948468991,0,0
2.318095794,0,2.333975436,1.892901037,0,0
2.483098108,0,2.318095794,2.333975436,0,0
3.074969746,0,2.483098108,2.318095794,0,0
1.963870988,0,3.074969746,2.483098108,0,0
1.953738578,0,1.963870988,3.074969746,0,0
2.216854527,0,1.953738578,1.963870988,0,0
2.73138205,0,2.216854527,1.953738578,0,0
2.518809983,0,2.73138205,2.216854527,0,0
1.743857609,0,2.518809983,2.73138205,0,0
1.653842517,0,1.743857609,2.518809983,0,0
0.548944313,0,1.653842517,1.743857609,0,0
0.163377189,0,0.548944313,1.653842517,0,0
0.015941314,0,0.163377189,0.548944313,0,0
0.346305487,0,0.015941314,0.163377189,0,0
0.509452371,0,0.346305487,0.015941314,0,0
0.662005047,0,0.509452371,0.346305487,0,0
0.813699653,0,0.662005047,0.509452371,0,0
